Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Tea, iced, bottled, black, decaffeinated, unsweetened",Tea,1,0.0,0.3,0.0,0.0,0.0,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,37,3,1,0,0.0,99.7
"Tea, iced, bottled, green",Tea,27,0.0,6.2,5.32,0.0,0.22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,31,0,0.0,0.01,0.005,12,21,5,1,0.0,93.54
"Tea, iced, bottled, green, diet",Tea,4,0.0,0.93,0.93,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.5,0.0,0.0,0.0,1,0,1,0.0,0.01,0.005,5,6,4,0,0.0,98.71
"Tea, iced, bottled, green, unsweetened",Tea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,26,0,0.0,0.01,0.005,19,7,12,0,0.0,99.88
"Soft drink, NFS",Soft drinks,42,0.0,10.36,9.94,0.0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,1,9,0,0.02,0.09,0.007,5,3,9,0,0.0,89.36
"Soft drink, NFS, diet",Diet soft drinks,2,0.11,0.29,0.0,0.0,0.03,0.0,0.0,0.0,0,0.005,0.023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,9,1,0.11,0.01,0.002,8,8,12,0,0.0,99.54
"Carbonated water, sweetened",Flavored or carbonated water,34,0.0,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.01,0.1,0.006,0,12,0,0,0.0,91.1
"Carbonated water, unsweetened",Flavored or carbonated water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,0,1,0.01,0.1,0.006,2,21,0,0,0.0,99.9
"Carbonated water, sweetened, with low-calorie or no-calorie sweetener",Flavored or carbonated water,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.04,0.0,0.025,2,6,0,0,0.0,99.8
"Soft drink, cola",Soft drinks,42,0.0,10.36,9.94,0.0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,1,9,0,0.02,0.09,0.007,5,3,9,0,0.0,89.36
