Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
Nutrition bar (Tiger's Milk),Nutrition bars,387,16.8,56.46,36.4,2.3,14.29,2.073,7.907,3.678,2,1.47,0.319,4.039,1.68,0,42.3,16.8,0.0,2.48,0.0,429,560,336,10.28,1.44,0.269,294,168,0,0,0.0,10.28
Nutrition bar (Zone Perfect Classic Crunch),Nutrition bars,426,30.0,45.0,27.0,2.0,14.0,4.499,3.828,4.804,8,0.75,1.7,20.0,2.0,160,73.0,120.0,0.0,24.0,24.0,200,300,80,3.6,7.5,0.774,250,444,11,99,0.0,7.0
"Nutrition bar or meal replacement bar, NFS",Nutrition bars,426,30.0,45.0,27.0,2.0,14.0,4.499,3.828,4.804,8,0.75,1.7,20.0,2.0,160,73.0,120.0,0.0,24.0,24.0,200,300,80,3.6,7.5,0.774,250,444,11,99,0.0,7.0
"Cereal bar with fruit filling, baby food",Baby food: snacks and sweets,344,5.43,68.63,42.0,1.7,5.3,0.453,3.107,1.541,1,0.921,1.053,11.842,1.105,48,13.9,2.4,0.0,0.9,0.02,1053,247,19,13.16,0.59,0.082,180,157,0,0,0.0,14.0
"Cookie, fruit, baby food",Baby food: snacks and sweets,435,6.8,73.7,24.2,3.4,12.6,2.7,4.865,4.334,4,0.44,0.42,3.6,0.21,82,12.0,1.5,0.0,1.48,0.46,83,189,30,2.9,0.8,0.04,425,9,0,0,0.0,5.7
"Cookie, baby food",Baby food: snacks and sweets,433,11.8,67.1,24.2,0.2,13.2,2.352,5.99,2.878,12,1.459,3.229,15.966,5.899,74,28.3,7.0,0.0,0.46,0.0,101,179,49,4.18,1.1,0.074,501,300,0,0,0.0,5.9
"Cookie, teething, baby",Baby food: snacks and sweets,392,10.7,76.4,12.65,1.4,4.2,1.206,1.702,0.998,7,0.233,0.537,4.33,0.111,29,33.8,9.1,0.5,1.1,0.87,263,164,35,3.55,0.93,0.142,323,285,0,0,0.0,6.4
"Cookie, rice, baby",Baby food: snacks and sweets,391,12.5,83.21,12.5,0.0,0.87,0.238,0.224,0.255,0,0.174,0.037,2.896,0.571,0,21.3,0.0,0.0,0.17,0.0,0,127,47,0.0,0.65,0.156,504,313,0,0,0.0,2.42
"Crackers, NFS","Crackers, excludes saltines",510,6.64,61.3,8.18,2.3,26.43,5.562,6.553,13.137,0,0.416,0.456,4.352,0.063,84,9.6,0.0,0.0,3.03,0.0,120,248,18,4.03,0.49,0.104,118,726,0,0,0.0,3.14
Graham crackers,Cookies and brownies,430,6.69,77.66,24.85,3.4,10.6,1.633,2.509,5.388,0,0.265,0.317,4.439,0.156,72,5.9,0.0,0.0,1.51,0.0,77,185,40,3.78,0.96,0.17,170,516,0,0,0.0,3.39
Graham crackers (Teddy Grahams),Cookies and brownies,430,6.69,77.66,24.85,3.4,10.6,1.633,2.509,5.388,0,0.265,0.317,4.439,0.156,72,5.9,0.0,0.0,1.51,0.0,77,185,40,3.78,0.96,0.17,170,516,0,0,0.0,3.39
"Graham crackers, chocolate covered",Cookies and brownies,500,4.0,66.78,37.3,2.2,25.8,17.2,2.7,4.9,1,0.27,0.15,1.7,0.064,38,22.3,0.1,0.0,0.99,0.0,46,87,16,2.0,0.2,0.194,267,265,3,88,0.0,2.0
"Crackers, oatmeal","Crackers, excludes saltines",455,7.3,70.73,15.48,6.9,16.4,3.21,3.47,8.474,0,0.284,0.146,4.022,0.244,2,27.2,0.0,0.0,1.55,0.0,92,302,72,2.64,1.64,0.274,283,699,0,0,0.0,2.75
"Crackers, Cuban",Cookies and brownies,430,5.6,73.8,17.6,1.0,12.8,3.212,7.13,1.729,0,0.355,0.264,3.031,0.104,82,8.4,0.0,0.0,0.11,0.0,74,95,52,6.43,0.45,0.373,346,459,0,0,0.0,5.8
"Graham crackers, reduced fat",Cookies and brownies,386,5.71,77.96,22.86,5.7,5.71,0.0,1.718,3.367,0,0.453,0.236,3.818,0.158,54,12.3,0.0,0.0,0.86,0.0,429,163,56,3.09,1.16,0.197,171,629,0,0,0.0,8.01
"Graham crackers, sandwich, with filling",Cookies and brownies,483,4.5,72.1,39.3,1.5,20.0,2.979,8.437,7.551,0,0.261,0.243,2.69,0.018,46,4.1,0.0,0.0,1.6,0.0,27,75,14,2.21,0.4,0.114,91,388,0,0,0.0,2.2
"Crackers, breakfast biscuit","Crackers, excludes saltines",426,7.12,70.99,22.83,7.3,15.07,2.235,5.321,6.273,0,0.343,0.153,4.079,0.144,21,19.8,0.2,0.0,1.4,0.0,46,234,78,3.94,1.55,0.28,276,430,0,0,0.0,5.1
"Crackers, butter, reduced sodium","Crackers, excludes saltines",443,8.8,68.6,0.37,10.5,17.2,3.393,5.88,6.596,0,0.201,0.1,4.519,0.183,0,27.2,0.0,0.0,0.86,0.0,50,295,99,3.08,2.15,0.444,297,186,0,0,0.0,2.7
"Crackers, matzo, reduced sodium","Crackers, excludes saltines",395,10.0,83.7,0.29,3.0,1.4,0.226,0.127,0.603,0,0.387,0.291,3.892,0.115,0,10.8,0.0,0.0,0.06,0.0,13,89,25,3.16,0.68,0.06,112,0,0,0,0.0,4.3
"Crackers, saltine, reduced sodium",Saltine crackers,416,9.39,73.48,2.19,2.9,8.75,1.978,2.221,4.021,0,0.604,0.327,5.174,0.059,116,19.4,0.0,0.0,1.11,0.0,118,110,25,5.07,0.81,0.154,716,646,0,0,0.0,3.99
"Crackers, wheat, reduced sodium","Crackers, excludes saltines",443,8.8,68.6,0.37,10.5,17.2,3.393,5.88,6.596,0,0.201,0.1,4.519,0.183,0,27.2,0.0,0.0,0.86,0.0,50,295,99,3.08,2.15,0.444,297,186,0,0,0.0,2.7
"Crackers, woven wheat, reduced sodium","Crackers, excludes saltines",443,8.8,68.6,0.37,10.5,17.2,3.393,5.88,6.596,0,0.201,0.1,4.519,0.183,0,27.2,0.0,0.0,0.86,0.0,50,295,99,3.08,2.15,0.444,297,186,0,0,0.0,2.7
"Crackers, butter, plain","Crackers, excludes saltines",510,6.64,61.3,8.18,2.3,26.43,5.562,6.553,13.137,0,0.416,0.456,4.352,0.063,84,9.6,0.0,0.0,3.03,0.0,120,248,18,4.03,0.49,0.104,118,726,0,0,0.0,3.14
"Crackers, butter, flavored","Crackers, excludes saltines",510,6.64,61.3,8.18,2.3,26.43,5.562,6.553,13.137,0,0.416,0.456,4.352,0.063,84,9.6,0.0,0.0,3.03,0.0,120,248,18,4.03,0.49,0.104,118,726,0,0,0.0,3.14
"Crackers, butter (Ritz)","Crackers, excludes saltines",510,6.64,61.3,8.18,2.3,26.43,5.562,6.553,13.137,0,0.416,0.456,4.352,0.063,84,9.6,0.0,0.0,3.03,0.0,120,248,18,4.03,0.49,0.104,118,726,0,0,0.0,3.14
"Crackers, butter, reduced fat","Crackers, excludes saltines",444,9.34,71.52,15.01,3.4,13.37,2.112,3.295,7.055,0,0.625,0.27,5.123,0.15,100,29.5,0.0,0.0,1.18,0.0,80,258,47,5.02,1.74,0.223,210,776,0,0,0.0,2.73
"Crackers, cheese","Crackers, excludes saltines",489,10.93,59.42,4.53,2.3,22.74,5.288,5.744,10.09,3,0.562,0.338,6.113,0.17,127,8.7,0.0,0.0,2.19,0.0,136,200,25,4.88,1.19,0.125,156,973,0,0,0.0,3.55
"Crackers, cheese (Cheez-It)","Crackers, excludes saltines",489,10.93,59.42,4.53,2.3,22.74,5.288,5.744,10.09,3,0.562,0.338,6.113,0.17,127,8.7,0.0,0.0,2.19,0.0,136,200,25,4.88,1.19,0.125,156,973,0,0,0.0,3.55
"Crackers, cheese (Goldfish)","Crackers, excludes saltines",489,10.93,59.42,4.53,2.3,22.74,5.288,5.744,10.09,3,0.562,0.338,6.113,0.17,127,8.7,0.0,0.0,2.19,0.0,136,200,25,4.88,1.19,0.125,156,973,0,0,0.0,3.55
"Crackers, cheese, reduced fat","Crackers, excludes saltines",418,10.0,68.19,0.0,3.3,11.67,3.333,2.121,5.273,0,1.087,0.75,7.17,0.044,174,2.5,0.0,0.0,1.88,0.0,67,162,22,4.8,0.9,0.118,141,1167,0,0,0.0,7.3
"Crackers, cheese, reduced sodium","Crackers, excludes saltines",503,10.1,58.2,0.28,2.4,25.3,9.638,11.852,2.457,13,0.57,0.428,4.671,0.553,64,8.7,0.0,0.0,0.3,0.0,151,218,36,4.77,1.13,0.21,106,458,0,0,0.0,3.1
"Crackers, cheese, whole grain","Crackers, excludes saltines",412,9.62,57.29,0.0,6.4,16.03,3.206,8.015,3.206,16,0.289,0.545,5.13,0.203,62,14.5,0.0,0.1,1.08,0.0,128,264,68,3.46,1.84,0.231,212,706,0,0,0.0,14.26
"Crackers, crispbread","Crackers, excludes saltines",366,7.9,82.2,1.07,16.5,1.3,0.145,0.165,0.557,0,0.243,0.145,1.04,0.21,25,20.2,0.0,0.0,0.81,0.0,31,269,78,2.43,2.39,0.255,319,410,0,0,0.0,6.1
"Crackers, flatbread","Crackers, excludes saltines",412,9.85,75.23,2.92,10.2,8.25,0.744,5.504,1.344,0,0.402,0.226,4.042,0.16,70,14.6,0.0,0.0,3.87,0.0,24,196,58,3.51,1.68,0.198,224,632,0,0,0.0,4.05
"Crackers, matzo","Crackers, excludes saltines",395,10.0,83.7,0.29,3.0,1.4,0.226,0.127,0.603,0,0.387,0.291,3.892,0.115,0,10.8,0.0,0.0,0.06,0.0,13,89,25,3.16,0.68,0.06,112,0,0,0,0.0,4.3
"Crackers, milk","Crackers, excludes saltines",446,7.6,71.73,10.32,3.4,13.77,2.912,5.485,4.867,11,0.538,0.418,4.43,0.037,70,10.8,0.2,0.0,1.22,0.0,172,303,22,3.58,0.67,0.227,114,687,0,0,0.0,4.7
"Crackers, oyster",Saltine crackers,418,9.46,74.05,1.29,2.8,8.64,1.653,1.986,4.835,0,0.702,0.487,6.442,0.086,117,16.7,0.0,0.0,1.15,0.0,19,102,23,5.57,0.69,0.139,152,941,0,0,0.0,5.05
"Chips, rice","Tortilla, corn, other chips",384,8.2,81.5,0.6,4.2,2.8,0.642,1.03,0.98,0,0.061,0.165,7.806,0.15,0,24.3,0.0,0.0,6.54,0.0,11,360,131,1.49,3.0,0.445,290,326,0,0,0.0,5.8
Rice cake,"Crackers, excludes saltines",392,7.1,81.1,0.88,4.2,4.3,0.875,1.582,1.52,0,0.06,0.16,7.81,0.15,0,18.9,0.0,0.0,1.24,0.0,11,360,131,1.49,3.0,0.445,428,71,0,0,0.0,5.8
"Crackers, rice","Crackers, excludes saltines",416,10.0,82.64,0.0,0.0,5.0,0.0,3.021,1.641,0,0.436,0.101,5.537,0.554,0,33.4,0.0,0.0,1.26,0.0,0,362,156,0.0,2.2,0.301,243,233,0,0,0.0,0.11
"Crackers, rice and nuts","Crackers, excludes saltines",429,10.78,77.41,0.37,0.8,8.85,0.346,5.404,2.595,0,0.406,0.184,5.357,0.519,0,34.6,0.0,0.0,3.01,0.0,21,368,164,0.29,2.27,0.36,278,360,0,0,0.0,0.29
Popcorn cake,"Crackers, excludes saltines",384,9.7,80.1,0.72,2.9,3.1,0.48,0.92,1.35,0,0.075,0.178,6.006,0.181,0,22.4,0.0,0.0,0.29,0.0,9,277,159,1.87,3.99,0.569,327,288,0,0,0.0,5.0
Rice paper,"Crackers, excludes saltines",329,5.07,72.54,0.27,2.1,1.21,0.328,0.376,0.322,0,0.118,0.018,2.202,0.371,0,5.0,0.0,0.0,0.09,0.0,10,84,30,0.38,0.69,0.112,65,310,0,0,0.0,19.85
"Crackers, saltine",Saltine crackers,418,9.46,74.05,1.29,2.8,8.64,1.653,1.986,4.835,0,0.702,0.487,6.442,0.086,117,16.7,0.0,0.0,1.15,0.0,19,102,23,5.57,0.69,0.139,152,941,0,0,0.0,5.05
"Crackers, saltine, reduced fat",Saltine crackers,393,10.5,82.3,0.38,2.7,1.6,0.244,0.142,0.685,0,0.518,0.59,5.714,0.085,111,19.6,0.0,0.0,0.12,0.0,22,113,26,7.72,0.94,0.145,115,849,0,0,0.0,3.4
"Crackers, saltine, multigrain",Saltine crackers,398,7.14,68.25,0.0,6.7,10.71,0.0,2.793,7.229,0,0.465,0.225,4.427,0.213,52,8.1,0.0,0.0,1.19,0.0,0,196,70,5.14,1.46,0.266,221,1214,0,0,0.0,9.85
"Crackers, multigrain","Crackers, excludes saltines",482,7.1,67.6,12.0,3.5,20.4,3.3,5.0,11.8,0,0.52,0.28,3.4,0.117,57,10.4,0.0,0.0,1.75,0.0,14,292,29,2.59,0.98,0.151,171,883,0,0,0.0,2.5
"Crackers, sandwich","Crackers, excludes saltines",494,11.47,58.38,10.5,2.3,24.54,4.803,13.468,4.551,0,0.489,0.271,6.114,0.148,52,24.7,0.0,0.0,2.06,0.0,81,274,55,2.77,1.13,0.324,215,801,0,0,0.0,2.93
"Crackers, sandwich, peanut butter filled","Crackers, excludes saltines",494,11.47,58.38,10.5,2.3,24.54,4.803,13.468,4.551,0,0.489,0.271,6.114,0.148,52,24.7,0.0,0.0,2.06,0.0,81,274,55,2.77,1.13,0.324,215,801,0,0,0.0,2.93
"Crackers, sandwich, peanut butter filled (Ritz)","Crackers, excludes saltines",482,7.5,57.14,10.0,2.5,25.0,5.06,10.8,7.45,0,0.409,0.272,4.215,0.066,77,11.8,0.0,0.0,2.29,0.0,0,87,27,2.7,0.6,0.117,110,575,0,0,0.0,8.4
"Crackers, sandwich, reduced fat, peanut butter filled","Crackers, excludes saltines",437,8.33,63.49,11.11,2.8,16.67,2.778,5.556,6.944,0,0.454,0.302,4.683,0.073,86,13.1,0.0,0.0,1.86,0.0,0,97,30,3.0,0.67,0.13,122,639,0,0,0.0,9.33
"Crackers, whole grain, sandwich, peanut butter filled","Crackers, excludes saltines",465,14.12,54.59,9.41,9.4,21.18,4.525,9.779,4.497,0,0.334,0.232,6.277,0.22,34,29.7,0.0,0.0,2.63,0.0,33,256,107,3.07,2.05,0.309,330,635,0,0,0.0,7.32
"Crackers, sandwich, cheese filled","Crackers, excludes saltines",477,9.3,61.7,3.18,1.9,21.1,6.125,11.254,2.567,2,0.446,0.684,3.766,0.049,86,27.5,0.1,0.0,0.22,0.0,257,406,36,2.39,0.62,0.082,429,978,0,0,0.0,3.9
"Crackers, sandwich, cheese filled (Ritz)","Crackers, excludes saltines",479,7.66,56.05,9.92,2.5,25.09,5.271,10.814,7.323,1,0.4,0.274,4.124,0.067,76,12.3,0.0,0.0,2.25,0.0,11,103,27,2.65,0.64,0.115,112,595,0,0,0.0,9.16
"Crackers, water","Crackers, excludes saltines",384,7.14,72.81,0.0,7.1,7.14,0.0,4.043,2.457,0,0.111,0.037,1.154,0.041,0,9.7,0.0,0.0,0.29,0.0,0,100,20,0.0,0.65,0.133,99,571,0,0,0.0,11.0
"Crackers, wonton","Crackers, excludes saltines",521,10.33,51.9,0.25,1.9,31.72,4.931,7.617,16.949,0,0.195,0.112,2.52,0.027,0,8.1,0.0,0.0,3.29,0.0,21,87,21,1.76,0.63,0.122,89,378,0,0,0.0,4.93
"Crackers, woven wheat","Crackers, excludes saltines",441,8.94,70.14,8.34,8.6,15.26,2.636,3.359,7.709,0,0.233,0.083,4.326,0.214,1,27.2,0.0,0.0,1.48,0.0,64,316,91,2.99,2.13,0.347,314,750,0,0,0.0,2.84
"Crackers, woven wheat, plain (Triscuit)","Crackers, excludes saltines",441,8.94,70.14,8.34,8.6,15.26,2.636,3.359,7.709,0,0.233,0.083,4.326,0.214,1,27.2,0.0,0.0,1.48,0.0,64,316,91,2.99,2.13,0.347,314,750,0,0,0.0,2.84
"Crackers, woven wheat, flavored (Triscuit)","Crackers, excludes saltines",441,8.94,70.14,8.34,8.6,15.26,2.636,3.359,7.709,0,0.233,0.083,4.326,0.214,1,27.2,0.0,0.0,1.48,0.0,64,316,91,2.99,2.13,0.347,314,750,0,0,0.0,2.84
"Crackers, woven wheat, reduced fat","Crackers, excludes saltines",416,11.34,75.52,1.22,10.9,7.59,1.067,1.609,3.568,0,0.185,0.022,5.225,0.197,0,29.5,0.0,0.0,1.08,0.0,39,364,120,3.56,2.99,0.447,373,745,0,0,0.0,2.59
"Crackers, wheat","Crackers, excludes saltines",441,8.94,70.14,8.34,8.6,15.26,2.636,3.359,7.709,0,0.233,0.083,4.326,0.214,1,27.2,0.0,0.0,1.48,0.0,64,316,91,2.99,2.13,0.347,314,750,0,0,0.0,2.84
"Crackers, wheat, plain (Wheat Thins)","Crackers, excludes saltines",441,8.94,70.14,8.34,8.6,15.26,2.636,3.359,7.709,0,0.233,0.083,4.326,0.214,1,27.2,0.0,0.0,1.48,0.0,64,316,91,2.99,2.13,0.347,314,750,0,0,0.0,2.84
"Crackers, wheat, flavored (Wheat Thins)","Crackers, excludes saltines",441,8.94,70.14,8.34,8.6,15.26,2.636,3.359,7.709,0,0.233,0.083,4.326,0.214,1,27.2,0.0,0.0,1.48,0.0,64,316,91,2.99,2.13,0.347,314,750,0,0,0.0,2.84
"Crackers, wheat, reduced fat","Crackers, excludes saltines",444,9.34,71.52,15.01,3.4,13.37,2.112,3.295,7.055,0,0.625,0.27,5.123,0.15,100,29.5,0.0,0.0,1.18,0.0,80,258,47,5.02,1.74,0.223,210,776,0,0,0.0,2.73
"Crackers, corn","Crackers, excludes saltines",455,7.3,70.73,15.48,6.9,16.4,3.21,3.47,8.474,0,0.284,0.146,4.022,0.244,2,27.2,0.0,0.0,1.55,0.0,92,302,72,2.64,1.64,0.274,283,699,0,0,0.0,2.75
"Crackers, gluten free, plain","Crackers, excludes saltines",453,11.25,66.3,0.86,10.2,15.84,2.069,7.004,5.981,0,0.208,0.173,4.833,0.37,0,27.1,0.0,0.0,1.5,0.0,238,374,164,2.83,2.64,0.549,381,438,0,0,0.0,3.59
"Crackers, gluten free, flavored","Crackers, excludes saltines",453,11.25,66.3,0.86,10.2,15.84,2.069,7.004,5.981,0,0.208,0.173,4.833,0.37,0,27.1,0.0,0.0,1.5,0.0,238,374,164,2.83,2.64,0.549,381,438,0,0,0.0,3.59
"Crackers, baby food",Baby food: snacks and sweets,477,8.4,66.85,13.0,4.0,19.6,1.966,15.779,1.022,0,0.35,0.33,4.05,0.12,70,10.4,50.5,0.0,8.05,7.55,41,198,37,4.2,0.9,0.13,245,633,0,0,0.0,2.0
"Gerber Finger Foods, Puffs, baby food",Baby food: snacks and sweets,421,6.4,76.68,28.0,2.3,9.9,1.646,3.13,3.638,0,1.4,1.6,11.25,0.05,95,22.9,10.0,0.0,3.9,2.45,400,709,27,22.5,4.0,0.22,114,0,0,0,0.0,3.7
"Finger Foods, Puffs, baby food",Baby food: snacks and sweets,344,6.19,85.79,17.84,3.8,2.3,0.143,0.306,0.527,0,1.563,2.267,28.767,1.8,6,11.5,1.3,0.0,10.33,10.07,535,448,60,24.74,17.46,0.213,196,13,0,0,0.0,3.62
"Crunchy snacks, corn based, baby food",Baby food: snacks and sweets,503,0.0,61.59,0.0,0.0,28.57,4.669,14.682,7.698,13,0.169,0.099,1.291,0.258,0,16.6,0.0,0.1,8.57,8.32,285,1044,69,6.4,3.57,0.16,214,500,0,0,0.0,2.6
Corn nuts,"Tortilla, corn, other chips",446,8.5,71.86,0.61,6.9,15.64,2.43,9.46,3.05,0,0.041,0.13,1.694,0.229,0,20.6,0.0,0.0,1.98,0.0,9,275,113,1.67,1.78,0.115,278,564,0,0,0.0,1.3
"Corn chips, plain","Tortilla, corn, other chips",535,6.12,56.82,0.27,4.0,33.1,4.297,9.062,16.308,0,0.047,0.077,0.835,0.166,0,12.0,0.0,0.0,7.17,0.0,137,192,71,1.19,1.28,0.1,143,817,0,0,0.0,1.06
"Corn chips, flavored","Tortilla, corn, other chips",543,6.11,56.7,0.27,4.0,34.02,4.416,9.317,16.817,0,0.047,0.077,0.834,0.165,0,12.0,0.0,0.0,7.3,0.0,137,192,71,1.19,1.28,0.1,143,509,0,0,0.0,1.06
"Corn chips, plain (Fritos)","Tortilla, corn, other chips",539,6.17,57.27,0.27,4.0,33.36,4.331,9.134,16.438,0,0.047,0.078,0.842,0.167,0,12.1,0.0,0.0,7.23,0.0,138,194,72,1.2,1.29,0.101,144,514,0,0,0.0,1.07
"Corn chips, flavored (Fritos)","Tortilla, corn, other chips",536,6.14,56.98,0.27,4.0,33.19,4.309,9.089,16.356,0,0.047,0.078,0.838,0.166,0,12.0,0.0,0.0,7.19,0.0,138,193,72,1.19,1.28,0.1,143,704,0,0,0.0,1.07
Cheese flavored corn snacks,"Tortilla, corn, other chips",560,5.85,53.53,3.19,1.4,36.01,5.36,10.052,17.821,7,0.16,0.159,4.706,0.079,46,11.6,0.0,0.1,4.18,0.0,56,133,17,2.53,0.4,0.032,182,942,0,0,0.0,1.57
"Cheese flavored corn snacks, reduced fat","Tortilla, corn, other chips",432,8.5,72.35,7.29,3.6,12.1,2.1,3.5,5.74,1,0.54,0.61,7.14,0.71,0,13.7,21.4,0.0,4.25,0.0,357,357,41,1.28,2.14,0.085,286,842,0,0,0.0,3.0
"Tortilla chips, plain","Tortilla, corn, other chips",472,7.1,67.78,0.78,5.4,20.68,2.811,5.664,10.769,0,0.14,0.07,0.838,0.179,0,19.4,0.0,0.0,3.53,0.0,106,225,84,1.52,1.38,0.097,182,328,0,0,0.0,2.64
Cheese flavored corn snacks (Cheetos),"Tortilla, corn, other chips",560,5.85,53.53,3.19,1.4,36.01,5.36,10.052,17.821,7,0.16,0.159,4.706,0.079,46,11.6,0.0,0.1,4.18,0.0,56,133,17,2.53,0.4,0.032,182,942,0,0,0.0,1.57
"Tortilla chips, flavored","Tortilla, corn, other chips",519,7.36,60.81,2.59,5.1,27.42,3.876,9.089,12.257,0,0.153,0.136,1.29,0.22,0,22.5,0.4,0.0,6.24,0.0,137,252,75,1.16,1.38,0.102,223,691,0,0,0.0,1.66
"Corn chips, reduced sodium","Tortilla, corn, other chips",549,6.84,56.75,0.41,3.9,33.63,4.396,9.265,17.296,0,0.094,0.129,0.604,0.149,0,14.0,0.1,0.0,7.03,0.0,126,206,70,1.16,1.08,0.091,164,295,0,0,0.0,1.12
"Tortilla chips, popped","Tortilla, corn, other chips",438,10.19,74.18,0.79,4.9,11.19,1.553,3.167,5.89,0,0.204,0.259,0.389,0.167,0,21.7,0.2,0.0,4.11,0.0,148,295,90,1.48,1.06,0.102,252,586,0,0,0.0,1.58
"Tortilla chips, nacho cheese flavor (Doritos)","Tortilla, corn, other chips",519,7.36,60.81,2.59,5.1,27.42,3.876,9.089,12.257,0,0.153,0.136,1.29,0.22,0,22.5,0.4,0.0,6.24,0.0,137,252,75,1.16,1.38,0.102,223,691,0,0,0.0,1.66
"Tortilla chips, cool ranch flavor (Doritos)","Tortilla, corn, other chips",470,7.06,67.44,0.78,5.4,20.58,2.797,5.636,10.715,0,0.139,0.07,0.834,0.178,0,19.3,0.0,0.0,3.51,0.0,106,224,84,1.51,1.37,0.097,181,519,0,0,0.0,2.63
"Tortilla chips, other flavors (Doritos)","Tortilla, corn, other chips",519,7.36,60.81,2.59,5.1,27.42,3.876,9.089,12.257,0,0.153,0.136,1.29,0.22,0,22.5,0.4,0.0,6.24,0.0,137,252,75,1.16,1.38,0.102,223,691,0,0,0.0,1.66
"Tortilla chips, reduced fat, plain","Tortilla, corn, other chips",411,10.86,79.07,0.84,5.2,5.63,0.839,1.639,2.833,0,0.217,0.276,0.415,0.178,0,23.1,0.2,0.0,3.48,0.0,158,314,96,1.58,1.14,0.109,269,511,0,0,0.0,1.68
"Tortilla chips, reduced fat, flavored","Tortilla, corn, other chips",411,10.86,79.07,0.84,5.2,5.63,0.839,1.639,2.833,0,0.217,0.276,0.415,0.178,0,23.1,0.2,0.0,3.48,0.0,158,314,96,1.58,1.14,0.109,269,511,0,0,0.0,1.68
"Tortilla chips, low fat, unsalted","Tortilla, corn, other chips",416,11.0,80.1,0.85,5.3,5.7,0.85,1.66,2.87,0,0.22,0.28,0.42,0.18,0,23.4,0.2,0.0,3.53,0.0,159,318,97,1.6,1.15,0.11,272,15,0,0,0.0,1.7
"Tortilla chips, reduced sodium","Tortilla, corn, other chips",489,9.35,68.08,0.72,4.5,19.84,2.665,5.547,10.641,0,0.187,0.238,0.357,0.153,0,19.9,0.2,0.0,5.15,0.0,135,270,82,1.36,0.98,0.094,231,13,0,0,0.0,1.44
Snack mix,Pretzels/snack mix,502,7.0,62.76,1.77,3.3,25.61,3.594,7.065,12.751,2,0.179,0.152,3.019,0.122,43,16.9,0.4,0.0,4.04,0.0,81,168,48,2.37,0.95,0.086,181,757,0,0,0.0,2.0
"Potato chips, restructured, multigrain",Potato chips,505,5.3,65.34,4.08,2.7,24.74,6.307,4.285,10.614,0,0.132,0.085,2.558,0.252,0,32.9,0.7,0.0,9.08,0.0,26,127,40,0.85,0.91,0.141,330,544,0,0,0.0,2.27
Pita chips,"Crackers, excludes saltines",457,11.79,68.26,4.76,3.8,15.2,1.342,10.842,2.13,0,0.56,0.307,7.043,0.109,114,9.1,0.0,0.0,6.93,0.0,17,124,37,4.59,0.96,0.141,129,854,0,0,0.0,2.0
"Popcorn, NFS",Popcorn,538,8.69,55.99,0.3,10.1,31.07,14.785,11.391,3.759,0,0.042,0.06,1.522,0.295,0,15.4,0.0,0.0,2.87,0.0,23,258,105,2.0,2.25,0.201,431,763,0,0,0.0,1.04
"Popcorn, movie theater, with added butter",Popcorn,656,4.96,31.65,0.29,5.4,58.78,35.476,11.656,8.451,52,0.071,0.077,0.845,0.115,0,13.3,0.2,0.0,1.91,0.0,8,137,59,1.55,1.45,0.121,124,756,0,0,0.0,1.6
"Popcorn, movie theater, unbuttered",Popcorn,603,6.18,39.87,0.37,6.9,48.7,28.908,7.36,9.705,0,0.089,0.096,1.064,0.144,0,11.1,0.2,0.0,1.69,0.0,8,172,74,1.95,1.82,0.152,155,762,0,0,0.0,1.95
"Popcorn, air-popped, unbuttered",Popcorn,385,12.89,77.47,0.87,14.4,4.52,0.634,0.946,2.309,0,0.104,0.083,2.299,0.156,0,21.1,0.0,0.0,0.29,0.0,7,357,143,3.18,3.07,0.261,328,162,0,0,0.0,3.31
"Popcorn, air-popped, with added butter or margarine",Popcorn,427,11.02,65.75,0.74,12.2,15.19,6.006,4.193,3.812,20,0.089,0.075,1.954,0.304,0,20.3,0.0,0.2,1.56,0.0,9,305,122,2.7,2.61,0.221,282,238,0,0,0.0,6.25
"Popcorn, popped in oil, unbuttered",Popcorn,498,8.96,57.87,0.54,10.0,27.99,5.03,8.257,13.466,0,0.129,0.139,1.544,0.209,0,15.9,0.3,0.0,2.42,0.0,10,249,108,2.77,2.63,0.22,224,157,0,0,0.0,2.79
"Popcorn, popped in oil, with added butter or margarine",Popcorn,523,7.69,49.13,0.46,8.4,35.09,9.733,10.393,13.273,20,0.111,0.123,1.314,0.349,0,15.9,0.3,0.2,3.36,0.0,12,214,92,2.35,2.24,0.187,194,234,0,0,0.0,5.81
"Popcorn, microwave, NFS",Popcorn,538,8.69,55.99,0.3,10.1,31.07,14.785,11.391,3.759,0,0.042,0.06,1.522,0.295,0,15.4,0.0,0.0,2.87,0.0,23,258,105,2.0,2.25,0.201,431,763,0,0,0.0,1.04
